,lval,op,rval,Estimate,Std. Err,z-value,p-value
0,d_2010_2018_resid_units,~,densification,0.025143944833868732,0.00650682960854813,3.8642390138774303,0.00011143606524499639
1,d_2010_2018_resid_units,~,orig_percent_public_transport_commuters,-1.286905629079865,0.592205396715178,-2.1730731199273943,0.02977481443747987
2,d_2010_2018_resid_units,~,orig_percent_households_with_people_under_18,0.3268728714337912,0.5817274719091691,0.5619003523427671,0.5741839136200828
3,d_2010_2018_resid_units,~,orig_feet_distance_from_park,-0.001086413917108231,0.007125061867087231,-0.15247782225923123,0.8788100811724564
4,d_2010_2018_resid_units,~,orig_percent_car_commuters,-1.112634189966205,0.7021201573306102,-1.5846777483141103,0.11303957007037035
5,d_2010_2018_resid_units,~,orig_percent_occupied_housing_units,1.449410595082094,1.0056123325985569,1.441321419890801,0.14949389862316265
6,d_2010_2018_resid_units,~,orig_percent_public_transport_trips_under_45_min,-0.45114030388443416,1.097067223832507,-0.4112239378622618,0.6809083370769202
7,d_2010_2018_resid_units,~,orig_percent_of_households_in_same_house_year_ago,-1.7094436714844494,3.645288050914289,-0.4689461155354316,0.6391081523750408
8,d_2010_2018_resid_units,~,orig_percent_multi_family_units,0.14366168546186184,0.3249215615676143,0.44214266596624285,0.6583859716322102
9,d_2010_2018_resid_units,~,2002_2010_percent_upzoned,0.07271452417456437,0.18840022831893538,0.38595772851762594,0.6995279754849497
10,d_2010_2018_resid_units,~,d_2010_2018_per_capita_income,0.0019751998001184584,0.002521243558515918,0.7834228441212953,0.4333788456925183
11,d_2010_2018_resid_units,~,d_2010_2018_median_gross_rent,0.05410738846755031,0.048204448408055836,1.1224563344943395,0.2616684634645172
12,d_2010_2018_resid_units,~,d_2010_2018_median_home_value,5.648156373820076e-06,0.00017793595501617456,0.03174263650965886,0.9746772929865402
13,d_2010_2018_resid_units,~,d_2010_2018_percent_of_households_in_same_house_year_ago,-1.1874295281568648,4.499832927568393,-0.26388302571897054,0.7918700557007836
14,d_2010_2018_resid_units,~,d_2010_2018_percent_bachelor_degree_or_higher,0.25138645805929727,1.2407874771212712,0.20260234947110511,0.8394458534761782
15,d_2010_2018_per_capita_income,~,densification,14.553047087507938,94.10420184073159,0.15464821764429137,0.8770986550525111
16,d_2010_2018_per_capita_income,~,orig_percent_bachelor_degree_or_higher,362.51037451728376,1111.4040366962238,0.3261733469988891,0.7442932056481295
17,d_2010_2018_per_capita_income,~,orig_percent_public_transport_commuters,-219.339751690603,898.5405321306441,-0.24410668617307477,0.8071481943485375
18,d_2010_2018_per_capita_income,~,orig_percent_non_hispanic_or_latino_white_alone,114.49732277859971,605.3357204712152,0.18914681375397882,0.8499777515728097
19,d_2010_2018_per_capita_income,~,orig_median_home_value,0.003878221200698455,0.006983919218376444,0.5553072821831292,0.578684498720345
20,d_2010_2018_per_capita_income,~,orig_percent_hispanic_any_race,99.2233800315725,337.991182028796,0.2935679547495373,0.7690880657063381
21,d_2010_2018_per_capita_income,~,orig_percent_households_with_people_under_18,81.18665475887855,412.6253353802562,0.19675634964115937,0.8440182112514294
22,d_2010_2018_per_capita_income,~,orig_feet_distance_from_park,-0.6789725296242223,2.4457311458696127,-0.2776153588143176,0.7813076408033457
23,d_2010_2018_per_capita_income,~,orig_percent_non_hispanic_asian_alone,187.6056904396804,940.5296915583137,0.19946812112741094,0.841896577922191
24,d_2010_2018_per_capita_income,~,orig_median_gross_rent,3.8433546632030398,29.419755379729587,0.13063856628294765,0.8960612326709483
25,d_2010_2018_per_capita_income,~,orig_percent_car_commuters,91.39031281894735,424.8975890401093,0.21508785923075713,0.8296988193241237
26,d_2010_2018_per_capita_income,~,orig_percent_non_hispanic_black_alone,79.51316978004279,146.05834331157214,0.5443932060110013,0.5861709200277863
27,d_2010_2018_per_capita_income,~,orig_per_capita_income,0.2025491879685566,2.459501505272938,0.08235375645602491,0.9343654080825912
28,d_2010_2018_per_capita_income,~,orig_percent_occupied_housing_units,569.1766773656349,3084.4223961237108,0.18453266260838228,0.8535956060511798
29,d_2010_2018_per_capita_income,~,orig_pop_density,1.8240437654714172,13.72621002299053,0.13288764796809366,0.8942822357551352
30,d_2010_2018_per_capita_income,~,orig_percent_public_transport_trips_under_45_min,-196.49835702115357,1076.075552959701,-0.1826064689237599,0.8551068082265485
31,d_2010_2018_per_capita_income,~,orig_percent_of_households_in_same_house_year_ago,287.23844229922935,995.7056751475486,0.288477257354855,0.7729814369046422
32,d_2010_2018_per_capita_income,~,orig_percent_multi_family_units,-200.5466872236165,853.1547964604249,-0.2350648300351189,0.8141584154892274
33,d_2010_2018_per_capita_income,~,orig_resid_unit_density,-2.003004509601603,17.726083804415534,-0.11299757643606229,0.9100324766324313
34,d_2010_2018_per_capita_income,~,2002_2010_percent_upzoned,-255.23323414044668,1780.4238028416353,-0.14335532570002885,0.8860095634061635
35,d_2010_2018_per_capita_income,~,d_2010_2018_resid_units,1.392087480027268,11.753726767983604,0.11843796503923389,0.9057206457090567
36,d_2010_2018_per_capita_income,~,d_2010_2018_percent_non_hispanic_or_latino_white_alone,51.176399440863015,137.65781257268077,0.37176531055106266,0.7100675935930774
37,d_2010_2018_per_capita_income,~,d_2010_2018_percent_hispanic_any_race,26.929691331315592,899.4878892445098,0.029938914857357467,0.9761157701810241
38,d_2010_2018_per_capita_income,~,d_2010_2018_median_gross_rent,1.3994721469127451,23.46594966779987,0.059638419357604375,0.952443618589222
39,d_2010_2018_per_capita_income,~,d_2010_2018_median_home_value,0.002420058916541949,0.49112422712549253,0.004927590175506952,0.9960683677877609
40,d_2010_2018_per_capita_income,~,d_2010_2018_percent_of_households_in_same_house_year_ago,252.37116410759214,495.3735480553826,0.5094562781930709,0.6104324372620769
41,d_2010_2018_per_capita_income,~,d_2010_2018_percent_bachelor_degree_or_higher,420.24437927735494,1679.1170364340667,0.25027700282871634,0.8023731397297791
42,d_2010_2018_per_capita_income,~,d_2010_2018_percent_car_trips_under_45_min,-14.5738899870361,362.0009051944938,-0.04025926393528183,0.9678864301012735
43,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,densification,-0.009992081384980306,0.03153373010728523,-0.316869629779541,0.7513425273600787
44,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_percent_bachelor_degree_or_higher,0.4276299187696142,1.9607446671603856,0.21809566841189154,0.8273545722834057
45,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_percent_public_transport_commuters,-0.19822522218165362,0.5105092062357253,-0.38828922134997845,0.6978020128822731
46,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_percent_non_hispanic_or_latino_white_alone,0.0783461856657326,0.8035901593742455,0.09749520293608768,0.9223331435861881
47,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_percent_hispanic_any_race,0.32132662551373026,0.8172154173316448,0.3931969694875878,0.6941740078383898
48,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_percent_households_with_people_under_18,1.0955654086455775,2.4200511034313434,0.45270341898637756,0.6507623173024784
49,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_feet_distance_from_park,-0.0034913914669485535,0.00580970110809566,-0.6009588791895741,0.5478673751183267
50,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_percent_non_hispanic_asian_alone,0.36883353456440576,1.1080484167980467,0.3328677059346375,0.7392341475668263
51,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_median_gross_rent,0.0017767959074706304,0.01005829201217974,0.17664986313207362,0.859783424820542
52,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,2010_2018_percent_upzoned,0.49476070806752026,0.750332390078857,0.6593887117346267,0.5096461890177792
53,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_percent_car_commuters,-0.24002579929068388,0.7631917088709422,-0.3145026295496069,0.7531393196223819
54,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_percent_non_hispanic_black_alone,0.32207131864742883,1.054658734159295,0.3053796533566449,0.7600770164127315
55,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_median_age,-0.3868651081364564,0.5439179654260581,-0.7112563524771767,0.47692539374579
56,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_percent_occupied_housing_units,5.902582438814706,7.372194122701844,0.8006547766610711,0.4233315300013696
57,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_pop_density,-0.0022751431825740786,0.005311917306330945,-0.42830922451186637,0.6684260038884657
58,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_percent_public_transport_trips_under_45_min,0.3018803851399201,0.7116346074799969,0.42420700450263216,0.6714148529269293
59,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_percent_of_households_in_same_house_year_ago,-1.559634302363934,1.6836590572570085,-0.9263361816874849,0.3542712983279246
60,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_percent_multi_family_units,0.16995185177893293,0.49740143113124163,0.34167945876647204,0.7325921322771474
61,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,orig_resid_unit_density,0.003832884931268028,0.008105456776692924,0.4728771044485159,0.6363008604241733
62,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,2002_2010_percent_upzoned,-0.023085760123877117,0.47088761759431663,-0.04902605050812176,0.9608985355939523
63,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,d_2010_2018_per_capita_income,0.000430095111202655,0.003368714034008645,0.1276733812169816,0.8984074563761493
64,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,d_2010_2018_percent_non_hispanic_black_alone,-0.3840252478087427,0.8561062829462681,-0.4485719302125444,0.653740486485572
65,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,d_2010_2018_percent_non_hispanic_asian_alone,-0.7134497231980144,0.7749025865049373,-0.9206960147274563,0.3572091574562313
66,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,d_2010_2018_percent_occupied_housing_units,7.467598912430349,9.590615348039886,0.7786360563356121,0.4361941330917034
67,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,d_2010_2018_median_home_value,-3.932290016047247e-06,0.0003865336461914295,-0.010173215306402016,0.9918830885825638
68,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,d_2010_2018_percent_households_with_people_under_18,1.4358675579975073,3.7483388756043423,0.3830677016270628,0.7016695667693451
69,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,d_2010_2018_percent_of_households_in_same_house_year_ago,-1.2472686546645322,1.401778531661679,-0.8897758287003585,0.3735862679379489
70,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,d_2010_2018_percent_bachelor_degree_or_higher,1.5585827464890598,2.206882181067527,0.706237405811318,0.4800405120793656
71,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,d_2010_2018_percent_car_trips_under_45_min,0.04985624796467401,0.5056951649559214,0.0985895286717268,0.9214641844230367
72,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,d_2010_2018_feet_distance_from_park,-0.0079889390029145,0.021594545402448418,-0.3699517101961662,0.7114184712908509
73,d_2010_2018_percent_non_hispanic_black_alone,~,densification,-0.0026444557384535817,0.000658545755918247,-4.015599084304584,5.929498019496826e-05
74,d_2010_2018_percent_non_hispanic_black_alone,~,orig_percent_bachelor_degree_or_higher,0.017375644056180847,0.086406066154701,0.20109287263316078,0.840625954977795
